id,duration,protocol_type,service,src_bytes,dst_bytes,urgent,count,srv_count,same_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_same_src_port_rate,labeled,attack_types
76714,0,tcp,http,182,25961,0,1,1,1,255,241,0.95,0,normal,unattack
131086,0,tcp,http,314,2127,0,26,26,1,238,255,1,0,normal,unattack
284622,0,tcp,http,280,315,0,1,1,1,35,255,1,0.03,normal,unattack
228501,0,tcp,http,236,6830,0,20,43,1,255,255,1,0,normal,unattack
136753,0,tcp,http,145,11825,0,2,2,1,23,255,1,0.04,normal,unattack
284385,0,udp,private,105,146,0,1,1,1,220,218,0.99,0,normal,unattack
290415,0,tcp,http,188,1767,0,9,9,1,33,255,1,0.03,normal,unattack
214915,0,udp,private,105,0,0,1,1,1,255,252,0.99,0,normal,unattack
137054,0,tcp,http,229,19052,0,4,6,1,95,251,1,0.01,normal,unattack
211714,0,tcp,http,289,403,0,22,23,1,22,255,1,0.05,normal,unattack
148794,0,udp,private,105,0,0,1,1,1,255,253,0.99,0,normal,unattack
135217,0,tcp,http,307,2139,0,11,28,1,69,255,1,0.01,normal,unattack
146305,0,tcp,http,292,3970,0,4,4,1,25,245,1,0.04,normal,unattack
230232,0,tcp,http,228,2247,0,11,19,1,59,255,1,0.02,normal,unattack
148518,0,tcp,http,312,5240,0,45,46,1,255,255,1,0,normal,unattack
147527,0,tcp,http,180,8409,0,1,9,1,28,255,1,0.04,normal,unattack
93033,0,tcp,http,268,6194,0,8,8,1,25,255,1,0.04,normal,unattack
226871,0,udp,private,105,0,0,1,1,1,255,253,0.99,0,normal,unattack
214373,0,tcp,http,216,5383,0,8,8,1,23,255,1,0.04,normal,unattack
784,0,tcp,http,252,272,0,2,3,1,2,2,1,0.5,normal,unattack
76620,0,tcp,http,247,379,0,2,2,1,255,255,1,0,normal,unattack
230114,0,udp,private,55,54,0,511,511,1,255,255,1,1,normal,unattack
283170,0,udp,private,105,146,0,2,2,1,255,255,1,0,normal,unattack
38606,0,udp,private,105,146,0,2,2,1,255,254,1,0,normal,unattack
131605,0,tcp,http,338,3954,0,14,14,1,143,255,1,0.01,normal,unattack
287841,0,tcp,http,308,1904,0,9,19,1,69,255,1,0.01,normal,unattack
124503,0,tcp,http,199,22097,0,2,2,1,255,255,1,0,normal,unattack
152774,0,tcp,http,299,24404,0,1,1,1,29,255,1,0.03,normal,unattack
77898,0,tcp,http,162,418,0,1,28,1,255,255,1,0.01,normal,unattack
285489,0,udp,private,105,146,0,4,4,1,255,255,1,0.01,normal,unattack
97158,0,udp,private,105,147,0,1,1,1,255,254,1,0,normal,unattack
139675,0,tcp,http,221,1585,0,10,10,1,255,255,1,0,normal,unattack
283090,0,tcp,http,335,1300,0,1,1,1,255,255,1,0,normal,unattack
150981,0,tcp,http,314,454,0,8,11,1,255,255,1,0,normal,unattack
214568,0,tcp,http,216,6211,0,3,3,1,126,255,1,0.01,normal,unattack
150341,0,udp,domain_u,44,73,0,172,172,1,255,255,1,0.01,normal,unattack
382,0,tcp,http,294,16082,0,27,28,1,255,255,1,0,normal,unattack
75172,0,udp,private,105,146,0,2,2,1,255,254,1,0,normal,unattack
225950,0,tcp,http,253,5659,0,6,6,1,255,255,1,0,normal,unattack
290531,0,tcp,http,207,182,0,42,45,1,255,255,1,0,normal,unattack
210658,0,tcp,http,214,770,0,27,27,1,238,255,1,0,normal,unattack
154075,0,tcp,http,345,702,0,26,27,1,255,255,1,0,normal,unattack
39772,0,udp,domain_u,42,42,0,4,6,1,255,249,0.98,0.01,normal,unattack
214560,0,tcp,http,161,7603,0,1,1,1,11,255,1,0.09,normal,unattack
36039,0,udp,private,105,146,0,1,1,1,255,254,1,0,normal,unattack
38482,0,tcp,http,158,12382,0,1,6,1,182,182,1,0.01,normal,unattack
229337,0,tcp,http,214,10503,0,3,4,1,15,255,1,0.07,normal,unattack
99325,0,tcp,http,221,19149,0,42,43,1,112,255,1,0.01,normal,unattack
226021,0,tcp,http,221,2825,0,9,9,1,32,255,1,0.03,normal,unattack
285282,0,udp,domain_u,44,44,0,165,164,0.99,255,254,1,0,normal,unattack
38202,0,tcp,http,297,618,0,16,16,1,32,255,1,0.03,normal,unattack
98687,0,udp,private,105,147,0,2,2,1,255,254,1,0.01,normal,unattack
233501,0,tcp,http,299,1380,0,7,16,1,255,238,0.93,0,normal,unattack
78928,0,tcp,pop_3,38,130,0,1,1,1,177,3,0.02,0.01,normal,unattack
146548,0,tcp,http,208,3093,0,6,21,1,12,255,1,0.08,normal,unattack
100477,0,tcp,http,151,13807,0,2,4,1,14,175,1,0.07,normal,unattack
148369,0,tcp,http,300,2701,0,1,2,1,108,255,1,0.01,normal,unattack
98236,0,tcp,http,303,603,0,13,13,1,13,255,1,0.08,normal,unattack
